t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0.4,0.00334026359386,4.99999888426,2.0,0.999979686371,1.06493011378e-05,0.00637391024884,-4.20757415903e-08,0.0250407677447,-1.67285567049e-05,0.0,0.000212746174888,0.0317235260145,-2.58662200961e-08,0.12506374062,-0.000208957284387,0.0,0.00159138970763,-0.00109674174492,-1.91798188083e-07,1.7168545489,1.71669940194,1.71692450257,1.71707956102,0.311258482741,-0.00208695488796,0.0,-0.0105089992575,-0.0156129216764,0.0
0.42,0.00386650663743,4.99999850501,2.0,0.999977614742,1.29408547132e-05,0.00669102734761,-5.36000498849e-08,0.0276042800657,-2.13464328016e-05,0.0,0.00024617894385,0.0317010407822,-2.98930997581e-08,0.131286773277,-0.000253923658702,0.0,0.00175332791075,-0.00115179932432,-2.11055367746e-07,1.71686122153,1.71669828381,1.71694629039,1.71710913071,0.311043022187,-0.00241498007133,0.0,-0.0110372262497,-0.017202175029,0.0
0.44,0.00444526424314,4.99999802396,2.0,0.999975444152,1.55831602563e-05,0.00700791341789,-6.75181557497e-08,0.030292209243,-2.69313855622e-05,0.0,0.000282927215877,0.0316774533821,-3.43139314812e-08,0.137505391006,-0.000305773413644,0.0,0.00192293398187,-0.00120696249978,-2.31192002835e-07,1.71686803943,1.7166972958,1.71696929293,1.71713992985,0.310816986195,-0.00277554401067,0.0,-0.0115665783639,-0.0188667461337,0.0
0.46,0.00507902385103,4.99999742035,2.0,0.999973174897,1.86101366651e-05,0.00732455739672,-8.41838060645e-08,0.0331044648615,-3.3627690671e-05,0.0,0.000323144021899,0.0316527614832,-3.91462291611e-08,0.143719382058,-0.000365172367187,0.0,0.0021001749959,-0.00126225361154,-2.52200512226e-07,1.71687500448,1.71669643666,1.71699350428,1.7171719557,0.310580350068,-0.00317014994461,0.0,-0.0120972788945,-0.0206063209481,0.0
0.48,0.00577027105045,4.9999966704,2.0,0.999970807286,2.20572295353e-05,0.00764094819576,-1.03983658318e-07,0.0360409522657,-4.15932403957e-05,0.0,0.00036698171931,0.0316269622843,-4.44073518688e-08,0.149928534146,-0.000432816338309,0.0,0.00228501652454,-0.00131769736687,-2.74072994246e-07,1.71688211878,1.71669570499,1.71701891817,1.71720520547,0.310333084412,-0.0036002946869,0.0,-0.0126295743608,-0.0224205710293,0.0
0.5,0.00652148949513,4.99999574702,2.0,0.999968341643,2.59614042504e-05,0.00795707469635,-1.27338668505e-07,0.0391015725482,-5.10001423038e-05,0.0,0.000414591961916,0.0316000524653,-5.01144974528e-08,0.156132634342,-0.000509431015614,0.0,0.00247742263758,-0.00137332093816,-2.96801230036e-07,1.71688938461,1.71669509921,1.71704552794,1.71723967636,0.310075154661,-0.0040674683385,0.0,-0.0131637354593,-0.0243091535382,0.0
0.52,0.00733516081803,4.99999461954,2.0,0.999965778303,3.0361138771e-05,0.00827292574409,-1.54705466063e-07,0.0422862225358,-6.20353152932e-05,0.0,0.000466125669901,0.0315720281377,-5.62846963024e-08,0.162331468972,-0.000595771820198,0.0,0.00267735590353,-0.00142915405708,-3.20376691394e-07,1.71689680443,1.7166946176,1.71707332658,1.71727536555,0.309806520589,-0.00457315399957,0.0,-0.0137000580025,-0.0262717112384,0.0
0.54,0.00821376454585,4.9999932534,2.0,0.999963117615,3.52964161216e-05,0.00858849014289,-1.86577715344e-07,0.0455947947733,-7.49010828223e-05,0.0,0.000521732999816,0.0315428847917,-6.29348051291e-08,0.168524823496,-0.000692623762753,0.0,0.0028847773899,-0.00148522910905,-3.44790543362e-07,1.71690438095,1.71669425827,1.71710230669,1.71731227023,0.309527135792,-0.00511882748158,0.0,-0.0142388638436,-0.0283078724896,0.0
0.56,0.00915977801322,4.99999160984,2.0,0.99996035994,4.08087165783e-05,0.00890375664854,-2.23487463119e-07,0.049027177505,-8.98157632257e-05,0.0,0.000581563314549,0.0315126172424,-7.00815009687e-08,0.17471248238,-0.000800801294912,0.0,0.00309964666343,-0.00154158122604,-3.70033651317e-07,1.71691211705,1.71669401915,1.71713246047,1.71735038758,0.309236947161,-0.00570595701899,0.0,-0.0147805017872,-0.0304172512348,0.0
0.58,0.0101756762765,4.99998964555,2.0,0.999957505652,4.69410095536e-05,0.00921871396163,-2.66006471637e-07,0.0525832546534,-0.000107014256998,0.0,0.000645765153304,0.0314812195744,-7.77412751891e-08,0.180894228956,-0.000921148154822,0.0,0.00332192178826,-0.00159824837723,-3.96096586803e-07,1.71692001585,1.716693898,1.71716377975,1.71738971478,0.308935894335,-0.00633600298085,0.0,-0.0153253484834,-0.0325994469798,0.0
0.6,0.0112639320269,4.99998731237,2.0,0.999954555135,5.37377451808e-05,0.00953335072001,-3.14747536768e-07,0.0562629057951,-0.000126748630931,0.0,0.000714486201537,0.0314486850836,-8.59304277128e-08,0.187069845272,-0.00105453720695,0.0,0.00355155932508,-0.00165527145681,-4.22969633046e-07,1.71692808072,1.71669389238,1.71719625595,1.71743024906,0.308623909134,-0.00701041758168,0.0,-0.0158738093077,-0.0348540447659,0.0
0.62,0.0124270155039,4.9999845569,2.0,0.999951508789,6.12448455972e-05,0.00984765549059,-3.70365790739e-07,0.0600660061336,-0.000149288698992,0.0,0.000787873260852,0.0314150062179,-9.46650613195e-08,0.19323911193,-0.00120187027609,0.0,0.00378851432764,-0.00171269437292,-4.50642795682e-07,1.71693631523,1.71669399969,1.7172298801,1.71747198765,0.308300914976,-0.00773064459192,0.0,-0.0164263192232,-0.0371806151333,0.0
0.64,0.0136673944066,4.9999813202,2.0,0.999948367024,6.95096959239e-05,0.0101616167606,-4.33559989039e-07,0.0639924264682,-0.000174922599819,0.0,0.000866072218842,0.0313801745167,-1.03961076151e-07,0.19940180791,-0.0013640779756,0.0,0.00403274034011,-0.00177056413324,-4.79105804795e-07,1.71694472323,1.7166942171,1.71726464281,1.71751492781,0.307966826276,-0.00849811904742,0.0,-0.0169833436274,-0.0395787140758,0.0
0.66,0.014987533806,4.99997753733,2.0,0.999945130259,7.85811349442e-05,0.0104752229281,-5.0507378102e-07,0.0680420331604,-0.000203957370729,0.0,0.00094922801884,0.031344180547,-1.13834164296e-07,0.205557710385,-0.00154211952976,0.0,0.00428418939193,-0.00182893092819,-5.08348127693e-07,1.71695330879,1.7166945416,1.71730053428,1.71755906685,0.30762154783,-0.00931426695799,0.0,-0.0175453791799,-0.042047882985,0.0
0.68,0.0163898960556,4.99997313706,2.0,0.99994179893,8.85094454775e-05,0.0107884622922,-5.85696963791e-07,0.0722146880952,-0.00023671951811,0.0,0.00103748462959,0.0313070138398,-1.2429980458e-07,0.211706594524,-0.00173698259036,0.0,0.00454281199253,-0.00188784821271,-5.38358973096e-07,1.71696207627,1.71669497,1.71733754432,1.71760440212,0.307264974183,-0.0101805050147,0.0,-0.0181129546139,-0.0445876485845,0.0
0.7,0.0178769407015,4.9999680414,2.0,0.999938373479,9.93463444484e-05,0.011101323042,-6.76266718956e-07,0.0765102486393,-0.000273555584088,0.0,0.00113098501475,0.0312686628238,-1.35373257566e-07,0.217848233278,-0.00194968304738,0.0,0.00480855712474,-0.00194737278809,-5.69127304018e-07,1.71697103029,1.71669549887,1.71737566228,1.71765093102,0.306896988976,-0.0110982402958,0.0,-0.0186866315282,-0.0471975228515,0.0
0.72,0.0194511243916,4.99996216523,2.0,0.999934854363,0.000111144972651,0.0114137932453,-7.77668831823e-07,0.0809285675944,-0.000314832709347,0.0,0.00122987110233,0.0312291147572,-1.47069560624e-07,0.223982397156,-0.00218126483376,0.0,0.00508137223605,-0.00200756487738,-6.00641845453e-07,1.71698017573,1.71669612459,1.71741487711,1.71769865102,0.306517464285,-0.0120688699708,0.0,-0.0192670051603,-0.0498770029272,0.0
0.74,0.0211149007837,4.9999554159,2.0,0.999931242047,0.000123959884202,0.0117258608372,-8.90838892668e-07,0.0854694931459,-0.000360939191991,0.0,0.00133428375386,0.0311883556593,-1.59403523349e-07,0.230108853988,-0.00243279972426,0.0,0.0053612032307,-0.00206848820405,-6.32891093108e-07,1.71698951777,1.71669684334,1.71745517732,1.71774755964,0.306126259936,-0.013093781003,0.0,-0.0198547051405,-0.0526255710131,0.0
0.76,0.0228707204526,4.99994769274,2.0,0.999927537006,0.000137847035691,0.0120375136062,-1.0167634797e-06,0.090132868807,-0.000412285042315,0.0,0.00144436273342,0.0311463702392,-1.72389723068e-07,0.236227368671,-0.00270538712837,0.0,0.00564799445806,-0.00213021006379,-6.65863325688e-07,1.71699906188,1.71669765106,1.717496551,1.7177976545,0.305723222813,-0.0141743498491,0.0,-0.0204503962257,-0.0554426942537,0.0
0.78,0.0247210307963,4.99993888669,2.0,0.999923739728,0.000152863775012,0.0123487391819,-1.15648132334e-06,0.0949185333572,-0.000469302533378,0.0,0.00156024667643,0.0311031418235,-1.8604250055e-07,0.242337702907,-0.00300015387711,0.0,0.00594168870041,-0.00219280139797,-6.99546614029e-07,1.71700881384,1.7166985435,1.71753898579,1.71784893326,0.30530818615,-0.0153119421572,0.0,-0.0210547790125,-0.0583278246048,0.0
0.8,0.0266682759404,4.9999288798,2.0,0.999919850708,0.000169068829883,0.01265952502,-1.31108445155e-06,0.0998263207759,-0.000532446747257,0.0,0.00168207305819,0.0310586522834,-2.00375956057e-07,0.248439614916,-0.00331825400384,0.0,0.00624222715913,-0.00225633686254,-7.33928837733e-07,1.71701877971,1.71669951617,1.71758246889,1.7179013937,0.304880968802,-0.0165079124616,0.0,-0.0216685906293,-0.0612803986851,0.0
0.82,0.0287148966416,4.99991754479,2.0,0.999915870451,0.000186522296053,0.0129698583878,-1.48171931575e-06,0.10485606017,-0.000602196116844,0.0,0.00180997816209,0.0310128819589,-2.15403945564e-07,0.254532859149,-0.0036608685189,0.0,0.00654954944034,-0.00232089489527,-7.68997688877e-07,1.71702896591,1.7167005644,1.71762698708,1.71795503367,0.304441374512,-0.0177636038738,0.0,-0.0222926054067,-0.0642998376121,0.0
0.84,0.0308633301892,4.99990474458,2.0,0.999911799472,0.000205285625183,0.0132797263482,-1.66958789718e-06,0.110007575693,-0.000679052963083,0.0,0.00194409704755,0.0309658095832,-2.31140077157e-07,0.260617185973,-0.00402920517804,0.0,0.00686359353576,-0.00238655778075,-8.04740696282e-07,1.71703937914,1.71670168326,1.71767252666,1.71800985113,0.303989191159,-0.0190803477715,0.0,-0.0229276355265,-0.0673855468204,0.0
0.86,0.0331160103054,4.99989033178,2.0,0.999907638292,0.000225421612409,0.0135891157437,-1.87594879332e-06,0.115280686467,-0.000763544027511,0.0,0.00208456351753,0.0309174122047,-2.47597707922e-07,0.266692341347,-0.00442449824459,0.0,0.00718429580635,-0.0024534117145,-8.41145220483e-07,1.71705002647,1.71670286762,1.7177190735,1.71806584413,0.303524189993,-0.0204594634824,0.0,-0.0235745316464,-0.070536915862,0.0
0.88,0.0354753670439,4.99987414825,2.0,0.999903387443,0.000246994383574,0.0138980131786,-2.10211828414e-06,0.12067520648,-0.00085622099998,0.0,0.00223151008573,0.0308676651081,-2.64789940751e-07,0.272758066484,-0.0048480082453,0.0,0.00751159095779,-0.00252154686191,-8.78198498301e-07,1.71706091529,1.71670411214,1.71776661303,1.71812301086,0.303046124863,-0.0219022579648,0.0,-0.0242341835034,-0.0737533181868,0.0
0.9,0.0379438266859,4.99985602453,2.0,0.999899047461,0.00027006938213,0.0142064050015,-2.34947137794e-06,0.1261909445,-0.000957661041424,0.0,0.00238506794323,0.0308165417349,-2.82729621959e-07,0.278814097491,-0.00530102171965,0.0,0.00784541202149,-0.00259105741602,-9.15887624442e-07,1.71707205337,1.71670541125,1.71781513018,1.71818134958,0.302554731428,-0.0234100254828,0.0,-0.0249075204917,-0.0770341109037,0.0
0.92,0.0405238116347,4.99983577937,2.0,0.999894618893,0.000294713355705,0.014514277286,-2.61944283654e-06,0.131827703958,-0.00106846730156,0.0,0.00254536692478,0.030764013602,-3.01429338524e-07,0.284860165001,-0.00578485096275,0.0,0.00818569032607,-0.00266204165297,-9.54199589427e-07,1.7170834488,1.71670675916,1.71786460948,1.71824085871,0.302049726355,-0.0249840472774,0.0,-0.0255955122179,-0.0803786345211,0.0
0.94,0.0432177403083,4.9998132192,2.0,0.999890102291,0.00032099434233,0.0148216158113,-2.91352817973e-06,0.137585282843,-0.00118926943137,0.0,0.00271253547447,0.0307100502193,-3.20901416342e-07,0.290895993784,-0.00630083376151,0.0,0.00853235547168,-0.00273460198592,-9.93121281956e-07,1.71709511007,1.71670814989,1.71791503496,1.71830153678,0.301530806514,-0.026625591231,0.0,-0.0262991690298,-0.0837862126646,0.0
0.96,0.0460280270287,4.99978813758,2.0,0.999885498211,0.000348981656315,0.0151284060416,-3.23328466864e-06,0.143463473576,-0.00132072409024,0.0,0.00288670061086,0.0306546190068,-3.41157918281e-07,0.296921302343,-0.00685033312407,0.0,0.00888533529985,-0.00280884501344,-1.03263952434e-06,1.71710704606,1.71670957722,1.71796639021,1.71836338244,0.300997648158,-0.0283359115276,0.0,-0.0270195425212,-0.0872561517736,0.0
0.98,0.0489570819098,4.99976031467,2.0,0.999880807216,0.000378745873781,0.0154346331049,-3.58033226803e-06,0.149462062882,-0.00146351544762,0.0,0.00306798789151,0.0305976852103,-3.62210643023e-07,0.302935802491,-0.00743473700236,0.0,0.00924455586205,-0.00288488156811,-1.07274107233e-06,1.717119266,1.71671103474,1.71801865835,1.7184263945,0.300449906089,-0.0301162483052,0.0,-0.0277577260096,-0.090787740773,0.0
